A,B
1.5,139.60933637370002
1.51,125.38138153730999
1.52,139.94875968607002
1.53,140.78056463004
1.54,128.19161860046998
1.55,129.20863093028
1.56,131.81075407588
1.57,138.53772368426002
1.58,140.83170658475
1.59,127.46687309329002
1.6,128.05289049204998
1.61,128.03692030506002
1.62,129.03275206729
1.63,140.72593320924
1.64,134.15829720998
1.65,139.18947249734
1.66,130.43719565015002
1.67,152.01756475315003
1.68,156.51017131188001
1.69,142.14110031729
1.7,139.60877565989998
1.71,140.92380616583998
1.72,152.4855408221
1.73,149.84308175736
1.74,129.07189928686
1.75,133.89916553019
1.76,149.06658112955
1.77,142.95881384082
1.78,139.82874739258
1.79,153.09084984083
1.8,149.73972156737
1.81,140.74582476960003
1.82,151.81271094407
1.83,162.64586667738
1.84,149.65222323198
1.85,155.27757511541
1.86,156.47231648433998
